epoch,start_utc,end_utc,allocation_arb,scope,side,target,unique_market_count,target_address,opportunity_name,campaign_db_id,campaign_id,opportunity_id,source_url
1,2025-09-03T13:00:00Z,2025-09-17T13:00:00Z,60000,shared_market_pool,borrow,USDC,13,,Borrow USDC on Morpho from any eligible markets,303609946611817849,0x6757b0e08b093523fa2df1430bb117de20e86778d30819c2128f2a683ab019b8,7273355656030825837,https://api.merkl.xyz/v4/campaigns/303609946611817849
1,2025-09-03T13:00:00Z,2025-09-17T13:00:00Z,60000,shared_market_pool,supply,USDC,13,,Supply USDC on Morpho to a vault providing liquidity to any eligible markets,18214077999762913454,0x0c72c7808dad51b0755f3cb21d8675550d95c8c1a4e01ac6ea843e587147cd98,5864106463496527503,https://api.merkl.xyz/v4/campaigns/18214077999762913454
2,2025-09-17T13:00:00Z,2025-10-01T13:00:00Z,60000,dedicated_market,supply,USDC,1,0xf86f3edd6f16cd8211f4d206866dc4ecd41be6211063ac11f8508e1b7112ef40,Supply USDC on syrupUSDC/USDC 91.5%,4687004388606990803,0x091cd9eed6e7af0105aa7d9c3387340d7ca96db35828657856739e8d3c7bf9bc,18208641314094623824,https://api.merkl.xyz/v4/campaigns/4687004388606990803
2,2025-09-17T13:00:00Z,2025-10-01T13:00:00Z,120000,shared_market_pool,borrow,USDC,15,,Borrow USDC on Morpho from any eligible markets,375214974642195408,0xfaa5d75d7069350638f28fc066c4546a8e1de72ff89544cc2863717498b4d44e,13663045430033215448,https://api.merkl.xyz/v4/campaigns/375214974642195408
2,2025-09-17T13:00:00Z,2025-10-01T13:00:00Z,120000,shared_market_pool,supply,USDC,15,,Supply USDC on Morpho to a vault providing liquidity to any eligible markets,5414838473121375382,0xf82f1972d7ec67af08193ce10d08431249b2cbc22cc917821bc8dcd266ac608a,9180601653979031527,https://api.merkl.xyz/v4/campaigns/5414838473121375382
3,2025-10-01T13:00:00Z,2025-10-15T13:00:00Z,90000,dedicated_market,supply,USDC,1,0xf86f3edd6f16cd8211f4d206866dc4ecd41be6211063ac11f8508e1b7112ef40,Supply USDC on syrupUSDC/USDC 91.5%,2892287731180391533,0xf2a7d93bf4c19b9d051f75bc8a76cc66388cd3bfe67d1c05b03042178a019d4a,18208641314094623824,https://api.merkl.xyz/v4/campaigns/2892287731180391533
3,2025-10-01T13:00:00Z,2025-10-15T13:00:00Z,120000,shared_market_pool,borrow,USDC,17,,Borrow USDC on Morpho from any eligible markets,17137598212722994375,0x7773396f96bc6dc6177924045a72408e4dec33999828bff4acd6b98e0bed7df6,8649738347971088998,https://api.merkl.xyz/v4/campaigns/17137598212722994375
3,2025-10-01T13:00:00Z,2025-10-15T13:00:00Z,360000,shared_market_pool,supply,USDC,17,,Supply USDC on Morpho to a vault providing liquidity to any eligible markets,7035763710649696845,0x3ba60253b77757482dcea509d6391517fe99c0d7d87479ebfb3075626bf72494,9198277112376765791,https://api.merkl.xyz/v4/campaigns/7035763710649696845
4,2025-10-15T13:00:00Z,2025-10-29T13:00:00Z,90000,dedicated_market,supply,USDC,1,0xf86f3edd6f16cd8211f4d206866dc4ecd41be6211063ac11f8508e1b7112ef40,Supply USDC on syrupUSDC/USDC 91.5%,4696799231387755682,0x1e2db971ec733be9544046c529df6ae89966029fc962f0dadf48c2ca6cce7d5b,18208641314094623824,https://api.merkl.xyz/v4/campaigns/4696799231387755682
4,2025-10-15T13:00:00Z,2025-10-29T13:00:00Z,120000,shared_market_pool,borrow,USDC,21,,Borrow USDC on Morpho from any eligible markets,6654923927173484081,0x0003f6a953d4dc726f37eb34b02d2e7ea6803b77999e7dec25fef3a3ac7924a5,377549328701653434,https://api.merkl.xyz/v4/campaigns/6654923927173484081
4,2025-10-15T13:00:00Z,2025-10-29T13:00:00Z,340000,shared_market_pool,supply,USDC,21,,Supply USDC on Morpho to a vault providing liquidity to any eligible markets,16150703777321717055,0x85294f088752ae5989c7678a7f079c6269a136065aa3989cac6b6bea3dbbfc7d,3584747911100012322,https://api.merkl.xyz/v4/campaigns/16150703777321717055
5,2025-10-29T13:00:00Z,2025-11-12T13:00:00Z,90000,dedicated_market,supply,USDC,1,0xf86f3edd6f16cd8211f4d206866dc4ecd41be6211063ac11f8508e1b7112ef40,Supply USDC on syrupUSDC/USDC 91.5%,8392439826952220823,0x8499c5c6f1b6a8e161efa0bf88db982395686ddaa7544809b83e3c400d8cb662,18208641314094623824,https://api.merkl.xyz/v4/campaigns/8392439826952220823
5,2025-10-29T13:00:00Z,2025-11-12T13:00:00Z,120000,shared_market_pool,borrow,USDC,20,,Borrow USDC on Morpho from any eligible markets,865602104468975376,0xd4e97df9fa341fb96deae11143bc3d2a87491717e794cdd71f934bcbfc2f7d1d,17883155545812829639,https://api.merkl.xyz/v4/campaigns/865602104468975376
5,2025-10-29T13:00:00Z,2025-11-12T13:00:00Z,300000,shared_market_pool,supply,USDC,20,,Supply USDC on Morpho to a vault providing liquidity to any eligible markets,11054087518202090923,0xebc01981ad479df5265bccd8693fcff3435d118250bbc89087c3c6578e36c05e,3749462324784370363,https://api.merkl.xyz/v4/campaigns/11054087518202090923
6,2025-11-12T13:00:00Z,2025-11-26T13:00:00Z,55000,shared_market_pool,borrow,USDC,21,,Borrow USDC on Morpho from any eligible markets,9740198745351917553,0xdd0caf3752888ae7f335d6522d4b05f8312523ecf2994d006808c8ca9e09982e,6552051569676924259,https://api.merkl.xyz/v4/campaigns/9740198745351917553
6,2025-11-12T13:00:00Z,2025-11-26T13:00:00Z,55000,shared_market_pool,supply,USDC,21,,Supply USDC on any Morpho Market,16371896546455148731,0x67d64be48d758c0094581647c8855703dce0310cef98d9f02bcfc42b9b02eb3b,10462167415485504095,https://api.merkl.xyz/v4/campaigns/16371896546455148731
7,2025-11-26T13:00:00Z,2025-12-10T13:00:00Z,55000,shared_market_pool,borrow,USDC,20,,Borrow USDC on Morpho from any eligible markets,14844593645084346657,0xe1e4171ed318cd9fa0b5650ef01cafaac52bbfea9b407cc88e5f185c3709395c,4928044448310409737,https://api.merkl.xyz/v4/campaigns/14844593645084346657
7,2025-11-26T13:00:00Z,2025-12-10T13:00:00Z,85000,shared_market_pool,supply,USDC,20,,Supply USDC on vaults providing to eligible Morpho Market,1453975958288072887,0x2f78f2c3c51fb2552eb3b327e87f80cdfef961d157f135c280d7c5babbaaa84b,15786713780032708319,https://api.merkl.xyz/v4/campaigns/1453975958288072887
8,2025-12-10T13:00:00Z,2025-12-24T13:00:00Z,40000,shared_market_pool,borrow,USDC,23,,Borrow USDC on Morpho from any eligible markets,2424983120607151158,0x30fc473ade6ecffb520485c5578362134acd464564c907bf9e657d88085d54c5,7124775963028630016,https://api.merkl.xyz/v4/campaigns/2424983120607151158
8,2025-12-10T13:00:00Z,2025-12-24T13:00:00Z,250000,shared_market_pool,supply,USDC,22,,Supply USDC on vaults providing to eligible Morpho Market,1695825053467459259,0x68e6c4d2922033ba44c63d21beae6b40f4fec1bab60fb33b13603ec9f23ee296,12016038124455540301,https://api.merkl.xyz/v4/campaigns/1695825053467459259
9,2025-12-24T13:00:00Z,2026-01-07T13:00:00Z,70000,direct_vault,supply,bbqUSDC,0,0xbeeff1D5dE8F79ff37a151681100B039661da518,Supply to the Steakhouse High Yield on Morpho on Arbitrum,3313344223285933138,0xffe33b77f089ff559ce9dc2de52edbdfd2bf5ceceda484beafd7ab1b5e554992,3611996626371479374,https://api.merkl.xyz/v4/campaigns/3313344223285933138
9,2025-12-24T13:00:00Z,2026-01-07T13:00:00Z,70000,direct_vault,supply,bbqUSDT0,0,0xbeeff77CE5C059445714E6A3490E273fE7F2492F,Supply to the Steakhouse High Yield on Morpho on Arbitrum,4706116614898073818,0xe8ed81c4f7a9da62d634e472f3d892d05942d3db1167838c83d652358855456d,189951432535003446,https://api.merkl.xyz/v4/campaigns/4706116614898073818
9,2025-12-24T13:00:00Z,2026-01-07T13:00:00Z,20000,shared_market_pool,borrow,USD₮0,7,,Borrow USDT0 on Morpho from any eligible markets,9082969400500464754,0x293a9e3bea8f337373f60fb1aaa0e8060840a8f1abb0cac8f93323385ca5fbff,15801877376070168780,https://api.merkl.xyz/v4/campaigns/9082969400500464754
9,2025-12-24T13:00:00Z,2026-01-07T13:00:00Z,20000,shared_market_pool,borrow,USDC,24,,Borrow USDC on Morpho from any eligible markets,12482204345182185278,0x9a53514359ee866e514bd4ce8e38d2a22259aac39caa0d1704211b871ff8cec6,18314130279009458343,https://api.merkl.xyz/v4/campaigns/12482204345182185278
9,2025-12-24T13:00:00Z,2026-01-07T13:00:00Z,270000,shared_market_pool,supply,USDC,23,,Supply USDC on vaults providing to eligible Morpho Market,2173420697471906676,0x1c7277127de8e23cc74376a36558ac1bb7065171f74a1bcf68acc9e8c2edea58,15384656426532412211,https://api.merkl.xyz/v4/campaigns/2173420697471906676
10,2026-01-07T13:00:00Z,2026-01-21T13:00:00Z,70000,direct_vault,supply,bbqUSDC,0,0xbeeff1D5dE8F79ff37a151681100B039661da518,Supply to the Steakhouse High Yield on Morpho on Arbitrum,12340400508203553473,0x2708b59aa1a44e2f362030e5e2acbbb09af1c0a596c2387ee9e59788fd971c69,3611996626371479374,https://api.merkl.xyz/v4/campaigns/12340400508203553473
10,2026-01-07T13:00:00Z,2026-01-21T13:00:00Z,70000,direct_vault,supply,bbqUSDT0,0,0xbeeff77CE5C059445714E6A3490E273fE7F2492F,Supply to the Steakhouse High Yield on Morpho on Arbitrum,7138388891114213327,0x9cb10da108c2abef52ddd2f52cc018209dcf9b8bc5c81bd0ad9c40846aeca94b,189951432535003446,https://api.merkl.xyz/v4/campaigns/7138388891114213327
10,2026-01-07T13:00:00Z,2026-01-21T13:00:00Z,60000,shared_market_pool,borrow,USD₮0,11,,Borrow USD₮0 on morpho,3294927492158074606,0xa51a1c264838b2eb49cc8005ddde7181894541fa442952dc98e65ee5b10b65b8,10121843849904395952,https://api.merkl.xyz/v4/campaigns/3294927492158074606
10,2026-01-07T13:00:00Z,2026-01-21T13:00:00Z,220000,shared_market_pool,supply,USDC,26,,Supply USDC on Morpho to a vault providing liquidity to any eligible markets,787173404906941585,0xc7b86927c705b01c4d4518764761be2c681722ada3541fd3040d67e39c5b8e24,8260729226002950022,https://api.merkl.xyz/v4/campaigns/787173404906941585
11,2026-01-21T13:00:00Z,2026-02-04T13:00:00Z,70000,direct_vault,supply,bbqUSDC,0,0xbeeff1D5dE8F79ff37a151681100B039661da518,Supply to the Steakhouse High Yield on Morpho on Arbitrum,9971024257060211571,0x44461dc9b2a0b1a5030ab5f699cc0ee617708bdb671f9fb49c417fedb6e91714,3611996626371479374,https://api.merkl.xyz/v4/campaigns/9971024257060211571
11,2026-01-21T13:00:00Z,2026-02-04T13:00:00Z,70000,direct_vault,supply,bbqUSDT0,0,0xbeeff77CE5C059445714E6A3490E273fE7F2492F,Supply to the Steakhouse High Yield on Morpho on Arbitrum,4793467861375121715,0x4ffd17134e9c11818a77ae5e2743ce7cd0dc6b7df6a15ec2f478afa3866ba72e,189951432535003446,https://api.merkl.xyz/v4/campaigns/4793467861375121715
11,2026-01-21T13:00:00Z,2026-02-04T13:00:00Z,40000,shared_market_pool,borrow,USD₮0,12,,Borrow USD₮0 from eligible markets on Morpho,165940246193060100,0xaf32b23b2467425064061cb6196938bbb28f882bd06c9a756adb1fc2c53bd4b2,4027215522748277281,https://api.merkl.xyz/v4/campaigns/165940246193060100
11,2026-01-21T13:00:00Z,2026-02-04T13:00:00Z,145000,shared_market_pool,supply,USDC,27,,Supply USDC to vaults providing to eligible markets on Morpho,9226587987773725264,0xc1851459e4fe3206d1e6af93a365c24656f61163bda880ff2f299f1314ff6094,10447800811316451199,https://api.merkl.xyz/v4/campaigns/9226587987773725264
12,2026-02-04T13:00:00Z,2026-02-18T13:00:00Z,85000,direct_vault,supply,bbqUSDT0,0,0xbeeff77CE5C059445714E6A3490E273fE7F2492F,Supply to the Steakhouse High Yield on Morpho on Arbitrum,11057708179622433172,0x800e9a6acd2f0a417530e4260370b2e8a1ca1d997056f829274ee944ed0f80ee,189951432535003446,https://api.merkl.xyz/v4/campaigns/11057708179622433172
12,2026-02-04T13:00:00Z,2026-02-18T13:00:00Z,40000,shared_market_pool,borrow,USD₮0,13,,Borrow USD₮0 from eligible markets on Morpho,13473045056384107541,0xf2ed0fb392fc55de0fd715dabb67f9b112d318540e54912a7d4f29300898cc9e,12243779369198587218,https://api.merkl.xyz/v4/campaigns/13473045056384107541
12,2026-02-04T13:00:00Z,2026-02-18T13:00:00Z,72500,shared_market_pool,supply,USDC,27,,Supply USDC to vaults providing to eligible markets on Morpho,12959691339003126968,0x448de89eab76a521551588734649e498bfe8c822269739029f8d6ffe6d24f4b9,10447800811316451199,https://api.merkl.xyz/v4/campaigns/12959691339003126968
