archetype,market_id,day_ordinal,day_utc,day_start_utc,day_end_exclusive_utc,day_start_block,day_end_block_exclusive,status,opening_event_sequence,closing_event_sequence,opening_total_supply_assets,opening_total_supply_shares,opening_total_borrow_assets,opening_total_borrow_shares,opening_total_collateral_assets,closing_total_supply_assets,closing_total_supply_shares,closing_total_borrow_assets,closing_total_borrow_shares,closing_total_collateral_assets,total_event_count,supply_event_count,withdraw_event_count,borrow_event_count,repay_event_count,supply_collateral_event_count,withdraw_collateral_event_count,liquidate_event_count,accrue_interest_event_count,supply_assets_in,supply_shares_minted,withdraw_assets_out,withdraw_shares_burned,borrow_assets_out,borrow_shares_minted,repay_assets_in,repay_shares_burned,collateral_assets_in,collateral_assets_withdrawn,accrued_interest_assets,accrued_fee_shares,liquidation_repaid_assets,liquidation_repaid_shares,liquidation_seized_collateral_assets,liquidation_bad_debt_assets,liquidation_bad_debt_shares,first_event_block,last_event_block
late_usdt0,0x571cb3ac535d61d92026c071ef1df4794d0bbbe1755f916ff640746f81b52af4,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
late_usdt0,0x571cb3ac535d61d92026c071ef1df4794d0bbbe1755f916ff640746f81b52af4,166,2025-12-22,2025-12-22T00:00:00Z,2025-12-23T00:00:00Z,413134558,413480920,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
late_usdt0,0x571cb3ac535d61d92026c071ef1df4794d0bbbe1755f916ff640746f81b52af4,167,2025-12-23,2025-12-23T00:00:00Z,2025-12-24T00:00:00Z,413480920,413827466,active,0,7,0,0,0,0,0,1001000,1001000000000,1000000,1000000000000,3499228,7,2,0,1,0,1,0,0,3,1001000,1001000000000,0,0,1000000,1000000000000,0,0,3499228,0,0,0,0,0,0,0,0,413594451,413594527
late_usdt0,0x571cb3ac535d61d92026c071ef1df4794d0bbbe1755f916ff640746f81b52af4,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,1209,1273,17050126470907,16978320668619926670,15345113892002,15271405274938972161,16247153402556,20704320921490,20615536934018857074,17866475034823,17779092587465289611,18711578204771,64,5,0,16,5,10,5,0,23,3652734766544,3637216265398930404,0,0,3278690099810,3262802833199347887,758788641028,755115520673030437,3210147100476,745722298261,1459684039,0,0,0,0,0,0,425648364,425924104
late_usdt0,0x571cb3ac535d61d92026c071ef1df4794d0bbbe1755f916ff640746f81b52af4,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,30495,30495,52611953301,51290956641446949,42740965473,41519360320658443,42506854113,52611953301,51290956641446949,42740965473,41519360320658443,42506854113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
early_shared_usdc,0xd09404e9512e1341321c8ae3bd663fab7087582142ac61486635a6c072c2af12,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
early_shared_usdc,0xd09404e9512e1341321c8ae3bd663fab7087582142ac61486635a6c072c2af12,8,2025-07-17,2025-07-17T00:00:00Z,2025-07-18T00:00:00Z,358466906,358813157,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
early_shared_usdc,0xd09404e9512e1341321c8ae3bd663fab7087582142ac61486635a6c072c2af12,9,2025-07-18,2025-07-18T00:00:00Z,2025-07-19T00:00:00Z,358813157,359159396,active,0,5,0,0,0,0,0,1000000,1000000000000,1000000,1000000000000,800000000000000,5,1,0,1,0,1,0,0,2,1000000,1000000000000,0,0,1000000,1000000000000,0,0,800000000000000,0,0,0,0,0,0,0,0,358881054,358881083
early_shared_usdc,0xd09404e9512e1341321c8ae3bd663fab7087582142ac61486635a6c072c2af12,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,21237,21284,881663345,816693372343898,809499278,744558042693128,538660146404921764,882715696,817590211417474,809584344,744558042693128,538660146404921764,47,5,6,0,0,0,0,0,36,25259297,23396869619693,24292012,22500030546117,0,0,0,0,0,0,85066,0,0,0,0,0,0,425582329,425914401
early_shared_usdc,0xd09404e9512e1341321c8ae3bd663fab7087582142ac61486635a6c072c2af12,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,62158,62753,1738830977804,1576076647394978403,1412612404741,1267277013158563722,1089899748253057582038,1798251909464,1629766812905400500,1412787420771,1267277013158563722,1089899748253057582038,595,162,149,0,0,0,0,0,284,6738465775129,6107481613323945733,6679219859499,6053791447813523636,0,0,0,0,0,0,175016030,0,0,0,0,0,0,495304719,495645972
