"sample_id","sample_rule","event_name","official_event_signature","event_hash","market_id","caller","on_behalf","receiver","borrower","assets","shares","repaid_assets","repaid_shares","seized_assets","bad_debt_assets","bad_debt_shares","prev_borrow_rate","interest","fee_shares","block_timestamp_utc","block_number","transaction_hash","transaction_index","log_index","contract_address","raw_data","topics_json","rpc_chain_id","gba_raw_key_match","gba_raw_topics_match","rpc_field_match","explorer_url"
"1","family:Supply","Supply","Supply(bytes32,address,address,uint256,uint256)","0xedf8870433c83823eb071d3df1caa8d008f12f6440918c20d75a3602cda30fe0","0xf86f3edd6f16cd8211f4d206866dc4ecd41be6211063ac11f8508e1b7112ef40","0x4b6f1c9e5d470b97181786b26da0d0945a7cf027","0x4b6f1c9e5d470b97181786b26da0d0945a7cf027","","","740099018","712888930223470","","","","","","","","","2026-08-17 00:33:51","495311688","0x9e41a903c4eef0786c7e91e028e615862c61d70f0c91e2f7c12e2331e081dce7","1","12","0x6c247b1f6182318877311737bac0844baa518f5e","0x000000000000000000000000000000000000000000000000000000002c1d03ca0000000000000000000000000000000000000000000000000002885e6373456e","[""0xedf8870433c83823eb071d3df1caa8d008f12f6440918c20d75a3602cda30fe0"",""0xf86f3edd6f16cd8211f4d206866dc4ecd41be6211063ac11f8508e1b7112ef40"",""0x0000000000000000000000004b6f1c9e5d470b97181786b26da0d0945a7cf027"",""0x0000000000000000000000004b6f1c9e5d470b97181786b26da0d0945a7cf027""]","42161","true","true","PASS","https://arbiscan.io/tx/0x9e41a903c4eef0786c7e91e028e615862c61d70f0c91e2f7c12e2331e081dce7#eventlog"
"2","family:Withdraw","Withdraw","Withdraw(bytes32,address,address,address,uint256,uint256)","0xa56fc0ad5702ec05ce63666221f796fb62437c32db1aa1aa075fc6484cf58fbf","0xf86f3edd6f16cd8211f4d206866dc4ecd41be6211063ac11f8508e1b7112ef40","0x4b6f1c9e5d470b97181786b26da0d0945a7cf027","0x4b6f1c9e5d470b97181786b26da0d0945a7cf027","0x4b6f1c9e5d470b97181786b26da0d0945a7cf027","","740099429","712888930223470","","","","","","","","","2026-08-17 00:39:52","495313109","0x8da21b619470f43d4e07b2459c12eda42e82319afabcdfd66a7b5696c4ee2bcc","1","17","0x6c247b1f6182318877311737bac0844baa518f5e","0x0000000000000000000000004b6f1c9e5d470b97181786b26da0d0945a7cf027000000000000000000000000000000000000000000000000000000002c1d05650000000000000000000000000000000000000000000000000002885e6373456e","[""0xa56fc0ad5702ec05ce63666221f796fb62437c32db1aa1aa075fc6484cf58fbf"",""0xf86f3edd6f16cd8211f4d206866dc4ecd41be6211063ac11f8508e1b7112ef40"",""0x0000000000000000000000004b6f1c9e5d470b97181786b26da0d0945a7cf027"",""0x0000000000000000000000004b6f1c9e5d470b97181786b26da0d0945a7cf027""]","42161","true","true","PASS","https://arbiscan.io/tx/0x8da21b619470f43d4e07b2459c12eda42e82319afabcdfd66a7b5696c4ee2bcc#eventlog"
"3","family:Borrow","Borrow","Borrow(bytes32,address,address,address,uint256,uint256)","0x570954540bed6b1304a87dfe815a5eda4a648f7097a16240dcd85c9b5fd42a43","0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0","0x9954afb60bb5a222714c478ac86990f221788b88","0xa179a667774c784a094d0be3af214e91173d25ee","0xa179a667774c784a094d0be3af214e91173d25ee","","500000000","480249145316245","","","","","","","","","2026-08-17 01:42:37","495328020","0x6e4b5653584ae2797ab90268206ede1cdbf0650fcc65e5ddfbb8d0b696bd259c","4","18","0x6c247b1f6182318877311737bac0844baa518f5e","0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88000000000000000000000000000000000000000000000000000000001dcd65000000000000000000000000000000000000000000000000000001b4c8b7b5d395","[""0x570954540bed6b1304a87dfe815a5eda4a648f7097a16240dcd85c9b5fd42a43"",""0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0"",""0x000000000000000000000000a179a667774c784a094d0be3af214e91173d25ee"",""0x000000000000000000000000a179a667774c784a094d0be3af214e91173d25ee""]","42161","true","true","PASS","https://arbiscan.io/tx/0x6e4b5653584ae2797ab90268206ede1cdbf0650fcc65e5ddfbb8d0b696bd259c#eventlog"
"4","family:Repay","Repay","Repay(bytes32,address,address,uint256,uint256)","0x52acb05cebbd3cd39715469f22afbf5a17496295ef3bc9bb5944056c63ccaa09","0x1d094624063756fc61aaf061c7da056aebe3b3ad0ae0395b22e00db6c074de7c","0x9954afb60bb5a222714c478ac86990f221788b88","0xc4d36f950cdb76dbc83717087775ff3303c6eeb7","","","4746615","4637333875341","","","","","","","","","2026-08-17 03:38:51","495355678","0x4304abe46a56f1bbf302255bc1b3d5ad412a1919d80fdda3d98d5d64b3f0f1e5","2","7","0x6c247b1f6182318877311737bac0844baa518f5e","0x0000000000000000000000000000000000000000000000000000000000486d7700000000000000000000000000000000000000000000000000000437b6a36a8d","[""0x52acb05cebbd3cd39715469f22afbf5a17496295ef3bc9bb5944056c63ccaa09"",""0x1d094624063756fc61aaf061c7da056aebe3b3ad0ae0395b22e00db6c074de7c"",""0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88"",""0x000000000000000000000000c4d36f950cdb76dbc83717087775ff3303c6eeb7""]","42161","true","true","PASS","https://arbiscan.io/tx/0x4304abe46a56f1bbf302255bc1b3d5ad412a1919d80fdda3d98d5d64b3f0f1e5#eventlog"
"5","family:SupplyCollateral","SupplyCollateral","SupplyCollateral(bytes32,address,address,uint256)","0xa3b9472a1399e17e123f3c2e6586c23e504184d504de59cdaa2b375e880c6184","0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0","0x9954afb60bb5a222714c478ac86990f221788b88","0x8406bc4a196c76ee6a757112c829eda83fe3ac9c","","","26748189535957772","","","","","","","","","","2026-08-17 07:07:45","495405116","0xffff43eba230e6d12a749ae14ce969ee7fa67c08df64bc8748a16f59cb3952f8","3","9","0x6c247b1f6182318877311737bac0844baa518f5e","0x000000000000000000000000000000000000000000000000005f07562facf30c","[""0xa3b9472a1399e17e123f3c2e6586c23e504184d504de59cdaa2b375e880c6184"",""0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0"",""0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88"",""0x0000000000000000000000008406bc4a196c76ee6a757112c829eda83fe3ac9c""]","42161","true","true","PASS","https://arbiscan.io/tx/0xffff43eba230e6d12a749ae14ce969ee7fa67c08df64bc8748a16f59cb3952f8#eventlog"
"6","family:WithdrawCollateral","WithdrawCollateral","WithdrawCollateral(bytes32,address,address,address,uint256)","0xe80ebd7cc9223d7382aab2e0d1d6155c65651f83d53c8b9b06901d167e321142","0x1d094624063756fc61aaf061c7da056aebe3b3ad0ae0395b22e00db6c074de7c","0x9954afb60bb5a222714c478ac86990f221788b88","0xc4d36f950cdb76dbc83717087775ff3303c6eeb7","0xc4d36f950cdb76dbc83717087775ff3303c6eeb7","","2500","","","","","","","","","","2026-08-17 03:38:51","495355678","0x4304abe46a56f1bbf302255bc1b3d5ad412a1919d80fdda3d98d5d64b3f0f1e5","2","10","0x6c247b1f6182318877311737bac0844baa518f5e","0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b8800000000000000000000000000000000000000000000000000000000000009c4","[""0xe80ebd7cc9223d7382aab2e0d1d6155c65651f83d53c8b9b06901d167e321142"",""0x1d094624063756fc61aaf061c7da056aebe3b3ad0ae0395b22e00db6c074de7c"",""0x000000000000000000000000c4d36f950cdb76dbc83717087775ff3303c6eeb7"",""0x000000000000000000000000c4d36f950cdb76dbc83717087775ff3303c6eeb7""]","42161","true","true","PASS","https://arbiscan.io/tx/0x4304abe46a56f1bbf302255bc1b3d5ad412a1919d80fdda3d98d5d64b3f0f1e5#eventlog"
"7","family:Liquidate","Liquidate","Liquidate(bytes32,address,address,uint256,uint256,uint256,uint256,uint256)","0xa4946ede45d0c6f06a0f5ce92c9ad3b4751452d2fe0e25010783bcab57a67e41","0x7e7c08f2d8bb6821408ac6b4e2f322d73ba1fb8ce20b3b65087f440ef3b2f8f1","0x8df6ce9ae0ed987cee8b109e2bd226b7c18433f3","","","0x2df031e6dfddafe5a76dfec38ed914573948b5d9","","","482037","429193566561","405760346379889221","0","0","","","","2026-08-17 10:25:21","495452255","0x59b0097770a151006fac8ab22b3b3a3972ff62215ad959b13a932ca3d40e90f3","3","7","0x6c247b1f6182318877311737bac0844baa518f5e","0x0000000000000000000000000000000000000000000000000000000000075af500000000000000000000000000000000000000000000000000000063edee196100000000000000000000000000000000000000000000000005a18ce29de9aa4500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","[""0xa4946ede45d0c6f06a0f5ce92c9ad3b4751452d2fe0e25010783bcab57a67e41"",""0x7e7c08f2d8bb6821408ac6b4e2f322d73ba1fb8ce20b3b65087f440ef3b2f8f1"",""0x0000000000000000000000008df6ce9ae0ed987cee8b109e2bd226b7c18433f3"",""0x0000000000000000000000002df031e6dfddafe5a76dfec38ed914573948b5d9""]","42161","true","true","PASS","https://arbiscan.io/tx/0x59b0097770a151006fac8ab22b3b3a3972ff62215ad959b13a932ca3d40e90f3#eventlog"
"8","family:AccrueInterest","AccrueInterest","AccrueInterest(bytes32,uint256,uint256,uint256)","0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87","0x11d3bca0d1a9af8bf2982ef802f2971cf86043df1b31a044cacb35a8048156c6","","","","","","","","","","","","8520654233","0","0","2026-08-17 00:21:29","495308748","0x174c9def9337c7ca5e855a98ed87b54f7282d434bb6c9f7fab439227c53a0d41","4","350","0x6c247b1f6182318877311737bac0844baa518f5e","0x00000000000000000000000000000000000000000000000000000001fbdedd9900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0x11d3bca0d1a9af8bf2982ef802f2971cf86043df1b31a044cacb35a8048156c6""]","42161","true","true","PASS","https://arbiscan.io/tx/0x174c9def9337c7ca5e855a98ed87b54f7282d434bb6c9f7fab439227c53a0d41#eventlog"
"9","boundary:last_before_checkpoint","Supply","Supply(bytes32,address,address,uint256,uint256)","0xedf8870433c83823eb071d3df1caa8d008f12f6440918c20d75a3602cda30fe0","0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0","0x89d06f57c510c03b679c801367e88d6e352655a3","0x89d06f57c510c03b679c801367e88d6e352655a3","","","104","100390931","","","","","","","","","2026-08-17 12:58:28","495488949","0xf58208aed9c88cc0c749508dca55cf5ad57f4663103bb3f202f0faea44dabb6f","2","30","0x6c247b1f6182318877311737bac0844baa518f5e","0x00000000000000000000000000000000000000000000000000000000000000680000000000000000000000000000000000000000000000000000000005fbd813","[""0xedf8870433c83823eb071d3df1caa8d008f12f6440918c20d75a3602cda30fe0"",""0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0"",""0x00000000000000000000000089d06f57c510c03b679c801367e88d6e352655a3"",""0x00000000000000000000000089d06f57c510c03b679c801367e88d6e352655a3""]","42161","true","true","PASS","https://arbiscan.io/tx/0xf58208aed9c88cc0c749508dca55cf5ad57f4663103bb3f202f0faea44dabb6f#eventlog"
"10","boundary:first_at_or_after_checkpoint","AccrueInterest","AccrueInterest(bytes32,uint256,uint256,uint256)","0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87","0xd09404e9512e1341321c8ae3bd663fab7087582142ac61486635a6c072c2af12","","","","","","","","","","","","1173620823","177403","0","2026-08-17 13:00:11","495489362","0x8304b1f61932062ec0e060fd7f7716219c2fcff689b5a34ce31e309d10a9f28a","4","6","0x6c247b1f6182318877311737bac0844baa518f5e","0x0000000000000000000000000000000000000000000000000000000045f40857000000000000000000000000000000000000000000000000000000000002b4fb0000000000000000000000000000000000000000000000000000000000000000","[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xd09404e9512e1341321c8ae3bd663fab7087582142ac61486635a6c072c2af12""]","42161","true","true","PASS","https://arbiscan.io/tx/0x8304b1f61932062ec0e060fd7f7716219c2fcff689b5a34ce31e309d10a9f28a#eventlog"
