market_id,loan_symbol,collateral_symbol,market_day_rows,source_event_rows,first_active_day,last_active_day,inactive_day_rows
0x06a5954e8222a1f4719934d370ac558b657c6a5321d6cae615127b6596d10d32,USDC,wstUSR,405,8016,2025-08-29,2026-08-17,51
0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,USD₮0,PT-USDai-19FEB2026,405,44755,2025-12-17,2026-08-17,161
0x11d3bca0d1a9af8bf2982ef802f2971cf86043df1b31a044cacb35a8048156c6,USDC,wsrUSD,405,7259,2026-01-05,2026-08-17,180
0x14982da64b67967ef3a70c2f3b7d05518f7dd4ba98d850c40c46618c75059a64,USDC,GLV [WETH-USDC],405,9873,2025-10-08,2026-08-17,91
0x1a926ab8add08dca634f8d6cecd8c866e166a4affc65801beda9f239d21b622a,USDC,GM,405,20533,2025-09-02,2026-08-17,55
0x1d094624063756fc61aaf061c7da056aebe3b3ad0ae0395b22e00db6c074de7c,USD₮0,XAUt0,405,2358,2026-01-09,2026-08-17,184
0x209fa1520640f664f59f7c1f955d52e8b81ead826edf439b48254d21d24b97a9,USD₮0,wstETH,405,3053,2025-08-13,2026-08-17,35
0x30c505b1ce479157e1035bdc5de3d4c811cf3e427c31db0b81b5c27a09054e97,USDC,PT-thBILL-27NOV2025,405,14055,2025-09-12,2026-08-17,65
0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0,USDC,wstETH,405,198920,2025-07-18,2026-08-17,9
0x52f4d5038749565658a51f43d214e811c328c00c8b58c544accfb8924e8be8f8,USDC,PT-sUSDai-20NOV2025,405,6,2025-09-06,2026-08-17,59
0x551dbcdcceaf9322986e0cddde993d49840522a9532dc441359acd98af8badff,USDC,thBILL,405,184328,2025-08-28,2026-08-17,50
0x571cb3ac535d61d92026c071ef1df4794d0bbbe1755f916ff640746f81b52af4,USD₮0,syrupUSDC,405,30495,2025-12-23,2026-08-17,167
0x582c92d5ea0ab48eba3a1ee88c8884e34f7fc61c57fb821f3f6d9e474574c6e3,USDC,wstUSR,405,2108,2026-01-02,2026-08-17,177
0x58df3ad9cf719b1ca97365db634a11b770785517f409ecbe85eefdb34803de1f,USDC,PT-sUSDai-20NOV2025,405,21926,2025-09-03,2026-08-17,56
0x678b525f162b499b17d8fd71f3129bd3a5a10d4c728e6af02ee7c644ae262d01,USDC,RLP,405,17,2025-10-13,2026-08-17,96
0x6a2b0c23c79dde84628314d21797f7bd5b06ae36e6bde6924ece64ef4821d2df,USDC,PT-sUSDai-19FEB2026,405,13,2025-12-10,2026-08-17,154
