archetype,market_id,day_ordinal,day_utc,day_start_utc,day_end_exclusive_utc,day_start_block,day_end_block_exclusive,status,opening_event_sequence,closing_event_sequence,opening_total_supply_assets,opening_total_supply_shares,opening_total_borrow_assets,opening_total_borrow_shares,opening_total_collateral_assets,closing_total_supply_assets,closing_total_supply_shares,closing_total_borrow_assets,closing_total_borrow_shares,closing_total_collateral_assets,total_event_count,supply_event_count,withdraw_event_count,borrow_event_count,repay_event_count,supply_collateral_event_count,withdraw_collateral_event_count,liquidate_event_count,accrue_interest_event_count,supply_assets_in,supply_shares_minted,withdraw_assets_out,withdraw_shares_burned,borrow_assets_out,borrow_shares_minted,repay_assets_in,repay_shares_burned,collateral_assets_in,collateral_assets_withdrawn,accrued_interest_assets,accrued_fee_shares,liquidation_repaid_assets,liquidation_repaid_shares,liquidation_seized_collateral_assets,liquidation_bad_debt_assets,liquidation_bad_debt_shares,first_event_block,last_event_block
accepted_drip_market,0x06a5954e8222a1f4719934d370ac558b657c6a5321d6cae615127b6596d10d32,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x06a5954e8222a1f4719934d370ac558b657c6a5321d6cae615127b6596d10d32,50,2025-08-28,2025-08-28T00:00:00Z,2025-08-29T00:00:00Z,372999830,373346016,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x06a5954e8222a1f4719934d370ac558b657c6a5321d6cae615127b6596d10d32,51,2025-08-29,2025-08-29T00:00:00Z,2025-08-30T00:00:00Z,373346016,373692235,active,0,5,0,0,0,0,0,25000,25000000000,25000,25000000000,500000000000000000,5,1,0,1,0,1,0,0,2,25000,25000000000,0,0,25000,25000000000,0,0,500000000000000000,0,0,0,0,0,0,0,0,373554045,373554102
accepted_drip_market,0x06a5954e8222a1f4719934d370ac558b657c6a5321d6cae615127b6596d10d32,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,7073,7203,1649038194,1605152906876402,1649038194,1600028218042807,1688172972756339855617,1749362703,1702501804654099,1649362703,1600028218042807,1688172972756339855617,130,25,38,0,0,0,0,0,67,224943025077,218927998733147746,224843025077,218830649835370049,0,0,0,0,0,0,324509,0,0,0,0,0,0,425600737,425922478
accepted_drip_market,0x06a5954e8222a1f4719934d370ac558b657c6a5321d6cae615127b6596d10d32,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,8016,8016,1907649814,113093429827499,1907649814,112333896005397,239019713904406731513,1907649814,113093429827499,1907649814,112333896005397,239019713904406731513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,160,2025-12-16,2025-12-16T00:00:00Z,2025-12-17T00:00:00Z,411058751,411405053,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,161,2025-12-17,2025-12-17T00:00:00Z,2025-12-18T00:00:00Z,411405053,411751136,active,0,7,0,0,0,0,0,1001000,1001000000000,1000000,1000000000000,4058755628328478720,7,2,0,1,0,1,0,0,3,1001000,1001000000000,0,0,1000000,1000000000000,0,0,4058755628328478720,0,0,0,0,0,0,0,0,411559236,411559247
accepted_drip_market,0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,23188,24114,28012832011322,27888844947976115409,22364962726359,22249870642446252364,25887224985719646704505064,28655243217070,28526748781077733476,22944660491282,22824933897464566234,26732187574468921359505440,926,305,128,16,6,15,3,0,453,7475911418544,7442613038829457569,6835141815186,6804709205727839502,998328913749,993157256860027972,420272751216,418094001841714102,1307555990039286862884263,462593401290012207883887,1641602390,0,0,0,0,0,0,425581676,425927305
accepted_drip_market,0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,44755,44755,12262704,11689615128410,12262704,11638053240614,19926157407733831632,12262704,11689615128410,12262704,11638053240614,19926157407733831632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
