block_number,transaction_index,log_index,transaction_hash,family,market_id,owner,caller,assets,shares,interest,fee_shares,repaid_assets,repaid_shares,seized_assets,bad_debt_assets,bad_debt_shares,topics_json,data
464068387,2,5,0x5f8d6b2b0f21fda7e532196307d54432a78e30f56609242671670591e4d8998d,SupplyCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,0x9954afb60bb5a222714c478ac86990f221788b88,6188640,,,,,,,,,"[""0xa3b9472a1399e17e123f3c2e6586c23e504184d504de59cdaa2b375e880c6184"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88"",""0x000000000000000000000000a0c826c8238dae8e11c637c29d0b3374c34f5f80""]",0x00000000000000000000000000000000000000000000000000000000005e6e60
464068387,2,9,0x5f8d6b2b0f21fda7e532196307d54432a78e30f56609242671670591e4d8998d,AccrueInterest,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,,,,,10965536,0,,,,,,"[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868""]",0x000000000000000000000000000000000000000000000000000000003a7ad4490000000000000000000000000000000000000000000000000000000000a752200000000000000000000000000000000000000000000000000000000000000000
464068387,2,10,0x5f8d6b2b0f21fda7e532196307d54432a78e30f56609242671670591e4d8998d,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,0x9954afb60bb5a222714c478ac86990f221788b88,3500000000,3243341461534715,,,,,,,,"[""0x570954540bed6b1304a87dfe815a5eda4a648f7097a16240dcd85c9b5fd42a43"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x000000000000000000000000a0c826c8238dae8e11c637c29d0b3374c34f5f80"",""0x000000000000000000000000a0c826c8238dae8e11c637c29d0b3374c34f5f80""]",0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b8800000000000000000000000000000000000000000000000000000000d09dc300000000000000000000000000000000000000000000000000000b85cd47b337fb
464072364,2,4,0x3f26ed01affcd1d488685996d249b6e477384f745e0013a92ec28501ef29ba46,SupplyCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xed797f61998b333260db1c2559f501e1ba1e3ac6,0x9954afb60bb5a222714c478ac86990f221788b88,5000000,,,,,,,,,"[""0xa3b9472a1399e17e123f3c2e6586c23e504184d504de59cdaa2b375e880c6184"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88"",""0x000000000000000000000000ed797f61998b333260db1c2559f501e1ba1e3ac6""]",0x00000000000000000000000000000000000000000000000000000000004c4b40
464072364,2,8,0x3f26ed01affcd1d488685996d249b6e477384f745e0013a92ec28501ef29ba46,AccrueInterest,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,,,,,1955743,0,,,,,,"[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868""]",0x000000000000000000000000000000000000000000000000000000003a8b460900000000000000000000000000000000000000000000000000000000001dd79f0000000000000000000000000000000000000000000000000000000000000000
464072364,2,9,0x3f26ed01affcd1d488685996d249b6e477384f745e0013a92ec28501ef29ba46,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xed797f61998b333260db1c2559f501e1ba1e3ac6,0x9954afb60bb5a222714c478ac86990f221788b88,1900000000,1760669354966591,,,,,,,,"[""0x570954540bed6b1304a87dfe815a5eda4a648f7097a16240dcd85c9b5fd42a43"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x000000000000000000000000ed797f61998b333260db1c2559f501e1ba1e3ac6"",""0x000000000000000000000000ed797f61998b333260db1c2559f501e1ba1e3ac6""]",0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b8800000000000000000000000000000000000000000000000000000000713fb30000000000000000000000000000000000000000000000000000064151c7783e3f
464073983,1,4,0xd1e32fbab8f5bac7c5fc97dc3083b762f847dff838cc3a62a7af04dda6f4ef39,SupplyCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,0x9954afb60bb5a222714c478ac86990f221788b88,5000000,,,,,,,,,"[""0xa3b9472a1399e17e123f3c2e6586c23e504184d504de59cdaa2b375e880c6184"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88"",""0x000000000000000000000000a0c826c8238dae8e11c637c29d0b3374c34f5f80""]",0x00000000000000000000000000000000000000000000000000000000004c4b40
464073983,1,8,0xd1e32fbab8f5bac7c5fc97dc3083b762f847dff838cc3a62a7af04dda6f4ef39,AccrueInterest,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,,,,,799674,0,,,,,,"[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868""]",0x000000000000000000000000000000000000000000000000000000003a953d2100000000000000000000000000000000000000000000000000000000000c33ba0000000000000000000000000000000000000000000000000000000000000000
464073983,1,9,0xd1e32fbab8f5bac7c5fc97dc3083b762f847dff838cc3a62a7af04dda6f4ef39,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,0x9954afb60bb5a222714c478ac86990f221788b88,800000000,741334168697933,,,,,,,,"[""0x570954540bed6b1304a87dfe815a5eda4a648f7097a16240dcd85c9b5fd42a43"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x000000000000000000000000a0c826c8238dae8e11c637c29d0b3374c34f5f80"",""0x000000000000000000000000a0c826c8238dae8e11c637c29d0b3374c34f5f80""]",0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88000000000000000000000000000000000000000000000000000000002faf08000000000000000000000000000000000000000000000000000002a23d4fc8fc4d
464085323,3,5,0x7d508aa58aa53d315a83994e07adb4b30d569af54b840e15a88a645059af71a0,SupplyCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x6796d511cc01aaa8a3fbfdadf1f260b64aac21d9,0x9954afb60bb5a222714c478ac86990f221788b88,141317,,,,,,,,,"[""0xa3b9472a1399e17e123f3c2e6586c23e504184d504de59cdaa2b375e880c6184"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88"",""0x0000000000000000000000006796d511cc01aaa8a3fbfdadf1f260b64aac21d9""]",0x0000000000000000000000000000000000000000000000000000000000022805
