wallet_event_sequence,market_event_sequence,block_number,transaction_index,log_index,transaction_hash,event_family,market_id,position_owner,assets,shares,repaid_assets,repaid_shares,seized_assets,bad_debt_assets,bad_debt_shares,rounding_check,wallet_supply_shares_before,wallet_supply_shares_after,wallet_borrow_shares_before,wallet_borrow_shares_after,wallet_collateral_assets_before,wallet_collateral_assets_after,total_supply_assets_before,total_supply_assets_after,total_supply_shares_before,total_supply_shares_after,total_borrow_assets_before,total_borrow_assets_after,total_borrow_shares_before,total_borrow_shares_after,is_intermediate_block
1,1,464068387,2,5,0x5f8d6b2b0f21fda7e532196307d54432a78e30f56609242671670591e4d8998d,SupplyCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,6188640,,,,,,,not_applicable,0,0,0,0,0,6188640,2306147574352,2306147574352,2153552919740529288,2153552919740529288,1993654167463,1993654167463,1847467653220434764,1847467653220434764,True
2,3,464068387,2,10,0x5f8d6b2b0f21fda7e532196307d54432a78e30f56609242671670591e4d8998d,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,3500000000,3243341461534715,,,,,,pass,0,0,0,3243341461534715,6188640,6188640,2306158539888,2306158539888,2153552919740529288,2153552919740529288,1993665132999,1997165132999,1847467653220434764,1850710994681969479,True
3,7,464073983,1,4,0xd1e32fbab8f5bac7c5fc97dc3083b762f847dff838cc3a62a7af04dda6f4ef39,SupplyCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,5000000,,,,,,,not_applicable,0,0,3243341461534715,3243341461534715,6188640,11188640,2306160495631,2306160495631,2153552919740529288,2153552919740529288,1999067088742,1999067088742,1852471664036936070,1852471664036936070,False
4,9,464073983,1,9,0xd1e32fbab8f5bac7c5fc97dc3083b762f847dff838cc3a62a7af04dda6f4ef39,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,800000000,741334168697933,,,,,,pass,0,0,3243341461534715,3984675630232648,11188640,11188640,2306161295305,2306161295305,2153552919740529288,2153552919740529288,1999067888416,1999867888416,1852471664036936070,1853212998205634003,False
5,282,465804717,1,2,0x17a3685d6535c3f358dcfa0d633fc3e6bb0f0ba152a100b6bd11cecf2dc2286e,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,500000000,463110302775092,,,,,,pass,0,0,3984675630232648,4447785933007740,11188640,11188640,2174028332607,2174028332607,2029286920134535954,2029286920134535954,1964850637342,1965350637342,1819885147134494866,1820348257437269958,False
6,287,465809626,1,4,0xb0b062eceae0d824b7e8bab9cd1db904762e0e45ce1692b12445470a2abf35fc,SupplyCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,4000000,,,,,,,not_applicable,0,0,4447785933007740,4447785933007740,11188640,15188640,2174069036655,2174069036655,2029324255171610524,2029324255171610524,1965351343372,1965351343372,1820348257437269958,1820348257437269958,False
7,447,467775848,1,2,0x50e08ca09aa697920ce12907cf2357f76af7fe4857e8bdb4d56283aaec642481,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,500000000,462847447191001,,,,,,pass,0,0,4447785933007740,4910633380198741,15188640,15188640,2254537962598,2254537962598,2103365270264166971,2103365270264166971,1872667527455,1873167527455,1733518769039983917,1733981616487174918,False
8,481,468663707,3,6,0x248f9c595c2cb8adc947e31c8a1efdb4e9bbc5b88302d935728bc1a7c27ad4bd,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,500000000,462744629498385,,,,,,pass,0,0,4910633380198741,5373378009697126,15188640,15188640,2239533835318,2239533835318,2088972097408341838,2088972097408341838,1914943399903,1915443399903,1772259548196907946,1772722292826406331,False
9,512,468880895,4,7,0x14bd67e01774dabb3487f6f9f8ca3fc9db69f8162f690da27bbbf4b5ade5ea75,SupplyCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,1786063,,,,,,,not_applicable,0,0,5373378009697126,5373378009697126,15188640,16974703,2239624834323,2239624834323,2088972097408341838,2088972097408341838,1911272939723,1911272939723,1768778474592320008,1768778474592320008,False
10,993,471714373,6,7,0x41cf5957e3e8cb43e287c35a69c0fbd99ff72aa0c1cd61f29102f1d9647f7ec5,Repay,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,588111000,543864989845599,,,,,,pass,0,0,5373378009697126,4829513019851527,16974703,16974703,1768241656519,1768241656519,1648248722561903295,1648248722561903295,1615977134159,1615389023159,1494400525853217018,1493856660863371419,False
11,1529,476166458,2,3,0x92fec0321de828aabed9fe08d7d72a2508067f419cd484b12619a334688c49aa,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,2400000000,2216756227283876,,,,,,pass,0,0,4829513019851527,7046269247135403,16974703,16974703,764706305002,764706305002,712060421771346671,712060421771346671,627610800290,630010800290,579691729105537829,581908485332821705,False
12,1537,476176884,1,6,0x716fccb756d0483ab71bc62ac20acc4dbe54f2d4b1c7ae5405f87a9ef6ed6472,Repay,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,2400000000,2216750881160015,,,,,,pass,0,0,7046269247135403,4829518365975388,16974703,16974703,767298027808,767298027808,714472303162204294,714472303162204294,630012319683,627612319683,581908485332821705,579691734451661690,False
13,2620,482413835,2,3,0xe428b3b796fe68eedc2a681e65a08aeb19744683fb81ef7bddcb49797dda6fdc,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xa0c826c8238dae8e11c637c29d0b3374c34f5f80,2333000000,2152071912949713,,,,,,pass,0,0,4829518365975388,6981590278925101,16974703,16974703,719345450705,719345450705,669107751092827764,669107751092827764,645353885538,647686885538,595305602648569391,597457674561519104,False
