ordinal,target_timestamp_utc,roles,day_utc,bracket_start_block,bracket_end_block_exclusive,predecessor_block,predecessor_hash,predecessor_timestamp_utc,chosen_block,chosen_hash,chosen_timestamp_utc,predecessor_lt_target,chosen_gte_target,parent_hash_match,chosen_minus_target_seconds,target_minus_predecessor_seconds
0,2025-07-10T13:00:00Z,baseline_close_01,2025-07-10,356045737,356391637,356233092,0xb688036aa7aacf15a61973a56cd1b0a8431116b00391ddee4336c2cf307769dd,2025-07-10T12:59:59Z,356233093,0xa6e8caa31665b53eb3fc720b37d25fdfd9c2eff93334069cef3253a77f007ff2,2025-07-10T13:00:00Z,True,True,True,0,1
1,2025-07-11T13:00:00Z,baseline_close_02,2025-07-11,356391637,356737548,356578998,0xfdc9ac0393db2dca9e3cf27946c68d689b5ca301426c0adbe81e79d524492545,2025-07-11T12:59:59Z,356578999,0xa888d233feda97b0cffd63240904a3455cf332bc5ac6c6b9f9e52f71e7bee45f,2025-07-11T13:00:00Z,True,True,True,0,1
2,2025-07-12T13:00:00Z,baseline_close_03,2025-07-12,356737548,357083239,356924807,0x34133ea267711038c2b05d49b69b6348c4fec33049f53783ba3f74e9efcfbcef,2025-07-12T12:59:59Z,356924808,0x52a97cd2e20d563464c11de0aaf6b9f3f465d9b17d938b925cc469bd07381635,2025-07-12T13:00:00Z,True,True,True,0,1
3,2025-07-13T13:00:00Z,baseline_close_04,2025-07-13,357083239,357428711,357270333,0x9d7e8d3cfddb297f317a2e03adda904d9e31033ff4f3f24bd520aa0e7c5adc2b,2025-07-13T12:59:59Z,357270334,0x90a54d856933178e226aa1fe519cd4d49db88527c4ad04f7de97fddd83aefb3b,2025-07-13T13:00:00Z,True,True,True,0,1
4,2025-07-14T13:00:00Z,baseline_close_05,2025-07-14,357428711,357774563,357616046,0x8c2fad7de64e9a0ab8041e0f9e464748b0e35e7ae70d0d17358aea6c6b0cab87,2025-07-14T12:59:59Z,357616047,0xd3aae4fd58afd01c29309f80d4c1af336df3793ce8b38bdc50340fcc8880844f,2025-07-14T13:00:00Z,True,True,True,0,1
5,2025-07-15T13:00:00Z,baseline_close_06,2025-07-15,357774563,358120703,357962016,0xb13f01544eb862fdcc9ba9b7462f88eada6f73681a1d462af66e2333353d937a,2025-07-15T12:59:59Z,357962017,0x8ae88674a32242d886d105d7072873bbce30926bced64a03644c9d4924a23593,2025-07-15T13:00:00Z,True,True,True,0,1
6,2025-07-16T13:00:00Z,baseline_close_07,2025-07-16,358120703,358466906,358308227,0x991021fc10ee03609c85047dd828600c47febc3fcc7cb1c5ebd6af252f96a1b3,2025-07-16T12:59:59Z,358308228,0x80cb30e35c31898601f06a62d05bc72b58017bccacbe027ad2498e5d4ab0e208,2025-07-16T13:00:00Z,True,True,True,0,1
7,2025-07-17T13:00:00Z,baseline_close_08,2025-07-17,358466906,358813157,358654497,0x6f990db434c9bf8f9b2c9ca2a98f99badfeb134b6e68d53d3bcfa68c6d2c9938,2025-07-17T12:59:59Z,358654498,0x83b4e1d7240ea1d58107ae286643c550e22d3c328fccfdc5cd2751df05f7d035,2025-07-17T13:00:00Z,True,True,True,0,1
8,2025-07-18T13:00:00Z,baseline_close_09,2025-07-18,358813157,359159396,359000766,0x0dfc564dd7c6314316fb885cd90efaf9e367921e44a725f8c4cd064b9ef9efc5,2025-07-18T12:59:59Z,359000767,0xfcf673a40a2296c27a70bc75a0a0f69313e590dea7178b3045d2b88a973601d3,2025-07-18T13:00:00Z,True,True,True,0,1
9,2025-07-19T13:00:00Z,baseline_close_10,2025-07-19,359159396,359505268,359346737,0x033d82707633678ffc4206680a4916b21fa292260c16b288b95fb86b7298bd9f,2025-07-19T12:59:59Z,359346738,0x2f7231c101592547d5ab9767d48e5be0322309c96d0261ba8b8dcffe07ea0cce,2025-07-19T13:00:00Z,True,True,True,0,1
