metric_version,target_timestamp_utc,boundary_block,phase_role,population_type,population_id,market_count,metric,value_base_units,value_native,unit_symbol,unit_address
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,exact_loan_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,borrowed_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,exact_loan_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,supplied_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,exact_loan_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,borrowed_assets,0,0,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,exact_loan_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,supplied_assets,0,0,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,fixed_program,45_markets,45,active_borrowers,0,0,wallets,
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,fixed_program,45_markets,45,active_borrowers_shares_only,0,0,wallets,
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,archetype_market,early_shared_usdc,1,borrowed_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,archetype_market,early_shared_usdc,1,collateral_assets,0,0,weETH,0x35751007a407ca6feffe80b3cb397736d2cf4dbe
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,archetype_market,dedicated_syrupusdc,1,borrowed_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,archetype_market,dedicated_syrupusdc,1,collateral_assets,0,0,syrupUSDC,0x41ca7586cc1311807b4605fbb748a3b8862b42b5
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,archetype_market,late_usdt0,1,borrowed_assets,0,0,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9
v1.0,2025-07-10T13:00:00Z,356233093,baseline_close,archetype_market,late_usdt0,1,collateral_assets,0,0,syrupUSDC,0x41ca7586cc1311807b4605fbb748a3b8862b42b5
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,exact_loan_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,borrowed_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,exact_loan_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,supplied_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,exact_loan_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,borrowed_assets,0,0,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,exact_loan_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,supplied_assets,0,0,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,fixed_program,45_markets,45,active_borrowers,0,0,wallets,
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,fixed_program,45_markets,45,active_borrowers_shares_only,0,0,wallets,
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,archetype_market,early_shared_usdc,1,borrowed_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,archetype_market,early_shared_usdc,1,collateral_assets,0,0,weETH,0x35751007a407ca6feffe80b3cb397736d2cf4dbe
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,archetype_market,dedicated_syrupusdc,1,borrowed_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,archetype_market,dedicated_syrupusdc,1,collateral_assets,0,0,syrupUSDC,0x41ca7586cc1311807b4605fbb748a3b8862b42b5
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,archetype_market,late_usdt0,1,borrowed_assets,0,0,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9
v1.0,2025-07-11T13:00:00Z,356578999,baseline_close,archetype_market,late_usdt0,1,collateral_assets,0,0,syrupUSDC,0x41ca7586cc1311807b4605fbb748a3b8862b42b5
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,exact_loan_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,borrowed_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,exact_loan_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,supplied_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,exact_loan_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,borrowed_assets,0,0,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,exact_loan_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,supplied_assets,0,0,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,fixed_program,45_markets,45,active_borrowers,0,0,wallets,
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,fixed_program,45_markets,45,active_borrowers_shares_only,0,0,wallets,
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,archetype_market,early_shared_usdc,1,borrowed_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,archetype_market,early_shared_usdc,1,collateral_assets,0,0,weETH,0x35751007a407ca6feffe80b3cb397736d2cf4dbe
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,archetype_market,dedicated_syrupusdc,1,borrowed_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,archetype_market,dedicated_syrupusdc,1,collateral_assets,0,0,syrupUSDC,0x41ca7586cc1311807b4605fbb748a3b8862b42b5
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,archetype_market,late_usdt0,1,borrowed_assets,0,0,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9
v1.0,2025-07-12T13:00:00Z,356924808,baseline_close,archetype_market,late_usdt0,1,collateral_assets,0,0,syrupUSDC,0x41ca7586cc1311807b4605fbb748a3b8862b42b5
v1.0,2025-07-13T13:00:00Z,357270334,baseline_close,exact_loan_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,borrowed_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-13T13:00:00Z,357270334,baseline_close,exact_loan_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,supplied_assets,0,0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831
v1.0,2025-07-13T13:00:00Z,357270334,baseline_close,exact_loan_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,borrowed_assets,0,0,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9
