metric_version,loan_symbol,loan_address,checkpoint,timestamp_utc,market_population,rank,market_id,collateral_symbol,collateral_address,archetype,borrowed_assets_base_units,borrowed_assets_native,share_of_exact_loan_total,cumulative_share,hhi
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,1,0x8147c63f3f6f5a0825c84bf2cb11443c72b609fa39cf9a362e3d4dc2c5ca76c4,PT-USDai-19FEB2026,0x5b2c615e22272234aacf187632a0531ca1243279,full_scope_other,28230035330835,28230035.330835,0.399591451579,0.399591451579,0.219693606948
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,2,0xf86f3edd6f16cd8211f4d206866dc4ecd41be6211063ac11f8508e1b7112ef40,syrupUSDC,0x41ca7586cc1311807b4605fbb748a3b8862b42b5,dedicated_syrupusdc,9575307714444,9575307.714444,0.13553688701,0.535128338589,0.219693606948
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,3,0x7717f1e04510390518811b3133ea47c298094ddd1d806ed8f8867d88c727bad7,PT-sUSDai-19FEB2026,0x1bf1311fcf914a69dd5805c9b06b72f80539cb3f,full_scope_other,8706982212113,8706982.212113,0.123245884046,0.658374222636,0.219693606948
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,4,0x551dbcdcceaf9322986e0cddde993d49840522a9532dc441359acd98af8badff,thBILL,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,full_scope_other,7460896505929,7460896.505929,0.10560774827,0.763981970906,0.219693606948
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,5,0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0,wstETH,0x5979d7b546e38e414f7e9822514be443a4800529,full_scope_other,7037902258114,7037902.258114,0.099620335095,0.863602306001,0.219693606948
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,6,0x6c831dcc45a7c0af00b751da651bd874b96653c587615d11aafade7b357c4b43,PT-thBILL-19FEB2026,0x9b3924f9652cabf3db48b7b4c92e474c571b3ab4,full_scope_other,4307016200735,4307016.200735,0.060965097474,0.924567403474,0.219693606948
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,7,0x9e90aec7d768403dacc9dd0d8320307fda3f980eed4df43e3e52168a1c667709,xUSD,0x6eaf19b2fc24552925db245f9ff613157a7dbb4c,full_scope_other,2567774995100,2567774.9951,0.036346427682,0.960913831156,0.219693606948
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,8,0x11d3bca0d1a9af8bf2982ef802f2971cf86043df1b31a044cacb35a8048156c6,wsrUSD,0x4809010926aec940b550d34a46a52739f996d75d,full_scope_other,1178873897014,1178873.897014,0.016686763804,0.97760059496,0.219693606948
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,9,0x14982da64b67967ef3a70c2f3b7d05518f7dd4ba98d850c40c46618c75059a64,GLV [WETH-USDC],0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,full_scope_other,348205047869,348205.047869,0.004928784498,0.982529379458,0.219693606948
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,10,0x77fe2f7c2dd6f4da6bc5f445b06052ff8df55cb70cfce9afc16ec3c69a5fd3a3,sUSDS,0xddb46999f8891663a8f2828d25298f70416d7610,full_scope_other,244814853180,244814.85318,0.0034653135,0.985994692959,0.219693606948
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,11,0xd09404e9512e1341321c8ae3bd663fab7087582142ac61486635a6c072c2af12,weETH,0x35751007a407ca6feffe80b3cb397736d2cf4dbe,early_shared_usdc,238082266863,238082.266863,0.003370014862,0.989364707821,0.219693606948
v1.0,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,campaign_end,2026-02-18T13:00:00Z,32,12,0x71c2954e00c8f72864600c9d1d1cd70fa15202c4294cd938d80add3be2eced26,sUSDai,0x0b2b2b2076d95dda7817e785989fe353fe955ef9,full_scope_other,178139441342,178139.441342,0.002521534143,0.991886241964,0.219693606948
