metric_version,scope_type,scope_id,market_count,market_id,archetype,loan_symbol,loan_address,period,period_start_utc,period_end_exclusive_utc,start_block,end_block_exclusive,opening_debt_base_units,closing_debt_base_units,borrow_assets_out_base_units,repay_assets_in_base_units,accrued_interest_assets_base_units,liquidation_repaid_assets_base_units,liquidation_bad_debt_assets_base_units,expected_debt_delta_base_units,observed_debt_delta_base_units,reconciliation_residual_base_units,opening_debt_native,closing_debt_native,borrow_assets_out_native,repay_assets_in_native,accrued_interest_assets_native,liquidation_repaid_assets_native,liquidation_bad_debt_assets_native,observed_debt_delta_native
v1.0,market,0xff608e5881ccba3859006b3c01e377314384c3d661d684c3e8b6354146e62155,1,0xff608e5881ccba3859006b3c01e377314384c3d661d684c3e8b6354146e62155,full_scope_other,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,baseline,2025-07-09T13:00:00Z,2025-09-03T13:00:00Z,355887376,375263392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.0,market,0xff608e5881ccba3859006b3c01e377314384c3d661d684c3e8b6354146e62155,1,0xff608e5881ccba3859006b3c01e377314384c3d661d684c3e8b6354146e62155,full_scope_other,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,incentive,2025-09-03T13:00:00Z,2026-02-18T13:00:00Z,375263392,433400939,0,1009462,1000000,0,9462,0,0,1009462,1009462,0,0,1.009462,1,0,0.009462,0,0,1.009462
v1.0,market,0xff608e5881ccba3859006b3c01e377314384c3d661d684c3e8b6354146e62155,1,0xff608e5881ccba3859006b3c01e377314384c3d661d684c3e8b6354146e62155,full_scope_other,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,post_180,2026-02-18T13:00:00Z,2026-08-17T13:00:00Z,433400939,495489315,1009462,2649548,0,0,1640086,0,0,1640086,1640086,0,1.009462,2.649548,0,0,1.640086,0,0,1.640086
v1.0,market,0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,1,0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,full_scope_other,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,baseline,2025-07-09T13:00:00Z,2025-09-03T13:00:00Z,355887376,375263392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.0,market,0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,1,0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,full_scope_other,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,incentive,2025-09-03T13:00:00Z,2026-02-18T13:00:00Z,375263392,433400939,0,18179569738144,62092911554392,44034303232234,120961415986,0,0,18179569738144,18179569738144,0,0,18179569.738144,62092911.554392,44034303.232234,120961.415986,0,0,18179569.738144
v1.0,market,0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,1,0x090ff0cd57a258b342c870691a180bb79691e97b31ddda2b7cdd4b5a362c3cca,full_scope_other,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,post_180,2026-02-18T13:00:00Z,2026-08-17T13:00:00Z,433400939,495489315,18179569738144,12262704,50000000000,18231536392610,2018247279,39330109,0,-18179557475440,-18179557475440,0,18179569.738144,12.262704,50000,18231536.39261,2018.247279,39.330109,0,-18179557.47544
v1.0,market,0xd91052003758145cc53615895c0ce2081c7080b661dbab5652c2b8433b248c2d,1,0xd91052003758145cc53615895c0ce2081c7080b661dbab5652c2b8433b248c2d,full_scope_other,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,baseline,2025-07-09T13:00:00Z,2025-09-03T13:00:00Z,355887376,375263392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.0,market,0xd91052003758145cc53615895c0ce2081c7080b661dbab5652c2b8433b248c2d,1,0xd91052003758145cc53615895c0ce2081c7080b661dbab5652c2b8433b248c2d,full_scope_other,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,incentive,2025-09-03T13:00:00Z,2026-02-18T13:00:00Z,375263392,433400939,0,24241347834,24181000000,0,60347834,0,0,24241347834,24241347834,0,0,24241.347834,24181,0,60.347834,0,0,24241.347834
v1.0,market,0xd91052003758145cc53615895c0ce2081c7080b661dbab5652c2b8433b248c2d,1,0xd91052003758145cc53615895c0ce2081c7080b661dbab5652c2b8433b248c2d,full_scope_other,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,post_180,2026-02-18T13:00:00Z,2026-08-17T13:00:00Z,433400939,495489315,24241347834,831136814,374944000000,400703854524,2349643504,0,0,-23410211020,-23410211020,0,24241.347834,831.136814,374944,400703.854524,2349.643504,0,0,-23410.21102
v1.0,market,0x8e58f0dea27f877db258ecbbe16e57c9bb3541448ac0d578ef08c5b93ea9b84b,1,0x8e58f0dea27f877db258ecbbe16e57c9bb3541448ac0d578ef08c5b93ea9b84b,full_scope_other,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,baseline,2025-07-09T13:00:00Z,2025-09-03T13:00:00Z,355887376,375263392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
