metric_version,scope_type,scope_id,market_count,market_id,archetype,loan_symbol,loan_address,collateral_symbol,collateral_address,metric,unit_symbol,unit_address,unit_decimals,post_checkpoint,post_timestamp_utc,baseline_observation_count,baseline_sum_base_units,baseline_mean_base_units,baseline_mean_native,campaign_end_base_units,campaign_end_native,campaign_peak_base_units,campaign_peak_native,campaign_peak_timestamp_utc,post_value_base_units,post_value_native,campaign_end_uplift_base_units,campaign_end_uplift_native,post_uplift_base_units,post_uplift_native,primary_applicability,primary_retained_uplift,peak_applicability,peak_retained_uplift
v1.0,exact_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,,,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,,,borrowed_assets,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,6,p30,2026-03-20T13:00:00Z,56,13664587045180,244010482949.642857142857,244010.482949642857,70647245378463,70647245.378463,180871350308110,180871350.30811,2025-10-22T13:00:00Z,48068435591953,48068435.591953,70403234895513.357142857143,70403234.895513357143,47824425109003.357142857143,47824425.109003357143,applicable,0.679293006635,applicable,0.264768473894
v1.0,exact_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,,,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,,,borrowed_assets,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,6,p90,2026-05-19T13:00:00Z,56,13664587045180,244010482949.642857142857,244010.482949642857,70647245378463,70647245.378463,180871350308110,180871350.30811,2025-10-22T13:00:00Z,14172733907336,14172733.907336,70403234895513.357142857143,70403234.895513357143,13928723424386.357142857143,13928723.424386357143,applicable,0.197842094118,applicable,0.077113040794
v1.0,exact_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,,,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,,,borrowed_assets,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,6,p180,2026-08-17T13:00:00Z,56,13664587045180,244010482949.642857142857,244010.482949642857,70647245378463,70647245.378463,180871350308110,180871350.30811,2025-10-22T13:00:00Z,5645592527445,5645592.527445,70403234895513.357142857143,70403234.895513357143,5401582044495.357142857143,5401582.044495357143,applicable,0.076723492216,applicable,0.02990456511
v1.0,exact_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,,,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,,,supplied_assets,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,6,p30,2026-03-20T13:00:00Z,56,38411730492929,685923758802.303571428571,685923.758802303571,83524538252938,83524538.252938,212289500440993,212289500.440993,2025-10-22T13:00:00Z,59501972926497,59501972.926497,82838614494135.696428571429,82838614.494135696429,58816049167694.696428571429,58816049.167694696429,applicable,0.710007639877,applicable,0.277953946195
v1.0,exact_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,,,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,,,supplied_assets,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,6,p90,2026-05-19T13:00:00Z,56,38411730492929,685923758802.303571428571,685923.758802303571,83524538252938,83524538.252938,212289500440993,212289500.440993,2025-10-22T13:00:00Z,15869281127907,15869281.127907,82838614494135.696428571429,82838614.494135696429,15183357369104.696428571429,15183357.369104696429,applicable,0.183288403142,applicable,0.071753784162
v1.0,exact_asset_group,0xaf88d065e77c8cc2239327c5edb3a432268e5831,32,,,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,,,supplied_assets,USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,6,p180,2026-08-17T13:00:00Z,56,38411730492929,685923758802.303571428571,685923.758802303571,83524538252938,83524538.252938,212289500440993,212289500.440993,2025-10-22T13:00:00Z,6155697743418,6155697.743418,82838614494135.696428571429,82838614.494135696429,5469773984615.696428571429,5469773.984615696429,applicable,0.066029278954,applicable,0.025849156571
v1.0,exact_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,,,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,,,borrowed_assets,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6,p30,2026-03-20T13:00:00Z,56,934914557,16694902.803571428571,16.694902803571,36750499253479,36750499.253479,59368918000304,59368918.000304,2026-01-31T13:00:00Z,37113025937306,37113025.937306,36750482558576.196428571429,36750482.558576196429,37113009242403.196428571429,37113009.242403196429,applicable,1.009864542139,applicable,0.625125417961
v1.0,exact_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,,,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,,,borrowed_assets,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6,p90,2026-05-19T13:00:00Z,56,934914557,16694902.803571428571,16.694902803571,36750499253479,36750499.253479,59368918000304,59368918.000304,2026-01-31T13:00:00Z,14081478694084,14081478.694084,36750482558576.196428571429,36750482.558576196429,14081461999181.196428571429,14081461.999181196429,applicable,0.383164002724,applicable,0.237185827758
v1.0,exact_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,,,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,,,borrowed_assets,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6,p180,2026-08-17T13:00:00Z,56,934914557,16694902.803571428571,16.694902803571,36750499253479,36750499.253479,59368918000304,59368918.000304,2026-01-31T13:00:00Z,4135334073899,4135334.073899,36750482558576.196428571429,36750482.558576196429,4135317378996.196428571429,4135317.378996196429,applicable,0.112524165428,applicable,0.069654605156
v1.0,exact_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,,,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,,,supplied_assets,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6,p30,2026-03-20T13:00:00Z,56,2447315652,43702065.214285714286,43.702065214286,39702544458991,39702544.458991,65151567422592,65151567.422592,2026-01-31T13:00:00Z,46346126823820,46346126.82382,39702500756925.785714285714,39702500.756925785714,46346083121754.785714285714,46346083.121754785714,applicable,1.167334103348,applicable,0.711358391564
v1.0,exact_asset_group,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,13,,,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,,,supplied_assets,USD₮0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6,p90,2026-05-19T13:00:00Z,56,2447315652,43702065.214285714286,43.702065214286,39702544458991,39702544.458991,65151567422592,65151567.422592,2026-01-31T13:00:00Z,16078297321101,16078297.321101,39702500756925.785714285714,39702500.756925785714,16078253619035.785714285714,16078253.619035785714,applicable,0.404968284428,applicable,0.246782464951
