"range_id","status","from_block","to_block","to_block_exclusive","block_count","row_count","log_count","file","checksum_algorithm","checksum_sha256","file_bytes","attempts","elapsed_ms","response_bytes","next_span","completed_at_utc"
"1","verified","433213243","433233242","433233243","20000","270","270","range_000001_433213243_433233243.jsonl","SHA256","6bdfa41966b623567b05e2aa7b14837a081e8dbac2d3238ab383e15feedae132","173265","1","527","199408","20000","31.08.2026 12:20:52"
"2","verified","433233243","433253242","433253243","20000","146","146","range_000002_433233243_433253243.jsonl","SHA256","c836d794313b23bbff76370ee5337698442248e6e4ea7aa172c223151fd00b54","94052","1","499","108215","40000","2026-08-31T12:21:36.6094350Z"
"3","verified","433253243","433293242","433293243","40000","499","499","range_000003_433253243_433293243.jsonl","SHA256","6c8df9ca70d7792c572c9656b382cb5dd93d4a5db5a5ad909d43dfb96856a668","320147","1","563","368417","40000","2026-08-31T12:21:37.5595408Z"
"4","verified","433293243","433333242","433333243","40000","532","532","range_000004_433293243_433333243.jsonl","SHA256","a9f6d66d87aaa29ac00a012058c21d18db2bb932b47bcd80f21a00a657fde1f5","341582","1","652","393053","40000","2026-08-31T12:21:38.6227206Z"
"5","verified","433333243","433373242","433373243","40000","750","750","range_000005_433333243_433373243.jsonl","SHA256","1ddda445c5f935b1d7328fffac61d735cf93b96625afa6de3d0fe3d71f72988e","481612","1","732","554010","40000","2026-08-31T12:21:39.8253535Z"
"6","verified","433373243","433413242","433413243","40000","900","900","range_000006_433373243_433413243.jsonl","SHA256","8d9856cb339bf2461479b1ba8f27f99b72d5ed5730eaa51aa5a67bd66325c356","579203","1","932","666031","40000","2026-08-31T12:21:41.1607832Z"
"7","verified","433413243","433453242","433453243","40000","995","995","range_000007_433413243_433453243.jsonl","SHA256","6b387842a9db9101b3df320d6e23dbfa875ed064cb93ac2c36a736411eee215c","643741","1","996","739755","40000","2026-08-31T12:21:42.5368307Z"
"8","verified","433453243","433493242","433493243","40000","776","776","range_000008_433453243_433493243.jsonl","SHA256","d0cf1b6e4aca0c4ac14d7b36eb4ffccb6eb8b0adaf7f1aad115198d34021d00b","498233","1","783","573201","40000","2026-08-31T12:21:43.6651764Z"
"9","verified","433493243","433533242","433533243","40000","945","945","range_000009_433493243_433533243.jsonl","SHA256","4a563e4109c5b5263f9d40d313ecb721b0684c5001dfafd3f934b3f799fcc83e","607929","1","761","699256","40000","2026-08-31T12:21:44.8279300Z"
"10","verified","433533243","433559874","433559875","26632","545","545","range_000010_433533243_433559875.jsonl","SHA256","b6c6fe47c3cc4768e70c67096a0a9a94ace2c752e9fd1ce36316d780e64643b2","349903","1","611","402533","40000","2026-08-31T12:21:45.7743578Z"
